标的ID,标的名字,募集金额,投资时间,募集期限,锁定期,修复后的退出期
20161121000002207,16112101,100000000,2016-11-21 11:15:35,3月,2016-11-28 11:15:35,2017-02-28 12:49:48
20161122000068407,16112202,100000000,2016-11-22 15:27:08,3月,2016-11-29 15:27:08,2017-02-28 12:50:04
20161122000068507,16112203,100000000,2016-11-22 15:30:46,3月,2016-11-29 15:30:46,2017-02-28 12:50:15
20161123000000207,16112301,100000000,2016-11-23 09:11:02,3月,2016-11-30 09:11:02,2017-02-28 12:51:05
20170121000000603,17012101,50000000,2017-01-21 11:31:44,1月,2017-01-28 11:31:44,2017-02-28 12:51:46
20170121000001103,17012103,50000000,2017-01-21 12:31:30,1月,2017-01-28 12:31:30,2017-02-28 12:52:15
20170121000002003,17012104,50000000,2017-01-21 16:19:33,1月,2017-01-28 16:19:33,2017-02-28 12:52:41
20170121000003203,17012106,50000000,2017-01-21 21:03:55,1月,2017-01-28 21:03:55,2017-02-28 12:53:19
20170121000003403,17012107,50000000,2017-01-21 21:56:35,1月,2017-01-28 21:56:35,2017-02-28 12:53:48
20170122000017603,17012203,50000000,2017-01-22 13:40:58,1月,2017-01-29 13:40:58,2017-03-01 13:40:58
20170122000031203,17012204,50000000,2017-01-22 14:26:31,1月,2017-01-29 14:26:31,2017-03-01 14:26:31
20170122000032003,17012205,50000000,2017-01-22 14:45:24,1月,2017-01-29 14:45:24,2017-03-01 14:45:24
20170122000057303,17012206,50000000,2017-01-22 16:14:30,1月,2017-01-29 16:14:30,2017-03-01 16:14:30
20170122000092103,17012208,50000000,2017-01-22 18:19:07,1月,2017-01-29 18:19:07,2017-03-01 18:19:07
20170122000093203,17012209,50000000,2017-01-22 20:13:13,1月,2017-01-29 20:13:13,2017-03-01 20:13:13
20170123000019103,17012301,50000000,2017-01-23 10:51:39,1月,2017-01-30 10:51:39,2017-03-02 10:51:39
20170123000019503,17012302,50000000,2017-01-23 11:15:13,1月,2017-01-30 11:15:13,2017-03-02 11:15:13
20170123000038503,17012303,50000000,2017-01-23 13:59:06,1月,2017-01-30 13:59:06,2017-03-02 13:59:06
20170123000050503,17012305,50000000,2017-01-23 14:40:04,1月,2017-01-30 14:40:04,2017-03-02 14:40:04
20170123000061003,17012306,50000000,2017-01-23 15:42:52,1月,2017-01-30 15:42:52,2017-03-02 15:42:52
20170123000071503,17012308,50000000,2017-01-23 16:38:21,1月,2017-01-30 16:38:21,2017-03-02 16:38:21
20170123000080903,17012309,50000000,2017-01-23 18:09:09,1月,2017-01-30 18:09:09,2017-03-02 18:09:09
20170123000118403,17012310,50000000,2017-01-23 21:39:11,1月,2017-01-30 21:39:11,2017-03-02 21:39:11
20170123000118803,17012311,50000000,2017-01-23 22:22:36,1月,2017-01-30 22:22:36,2017-03-02 22:22:36
20170124000004203,17012401,50000000,2017-01-24 10:20:32,1月,2017-01-31 10:20:32,2017-03-03 10:20:32
20170124000013703,17012402,50000000,2017-01-24 12:50:40,1月,2017-01-31 12:50:40,2017-03-03 12:50:40
20170124000015103,17012403,50000000,2017-01-24 13:40:21,1月,2017-01-31 13:40:21,2017-03-03 13:40:21
20170124000022003,17012404,50000000,2017-01-24 15:42:18,1月,2017-01-31 15:42:18,2017-03-03 15:42:18
20170124000022803,17012406,50000000,2017-01-24 15:45:20,1月,2017-01-31 15:45:20,2017-03-03 15:45:20
20170124000025703,17012407,50000000,2017-01-24 17:02:54,1月,2017-01-31 17:02:54,2017-03-03 17:02:54
20170124000026203,17012408,50000000,2017-01-24 19:33:24,1月,2017-01-31 19:33:24,2017-03-03 19:33:24
20170124000027203,17012410,50000000,2017-01-24 23:39:52,1月,2017-01-31 23:39:52,2017-03-03 23:39:52
